text,link
Obesity in children and young people: prevention and lifestyle weight management programmes (NICE QS94 2015),https://www.nice.org.uk/guidance/qs94
Obesity: clinical assessment and management (NICE QS127 2016),https://www.nice.org.uk/guidance/qs127
Thyroid disease: assessment and management (NICE NG145 2019),https://www.nice.org.uk/guidance/ng145
Thyroid disorders in children and young people with down syndrome: surveillance and when to initiate treatment (DSMIG 2020),https://www.dsmig.org.uk/wp-content/uploads/2020/04/FINAL_Thyroid-Disorder-in-Down-Syndrome-Guideline-with-all-logos-v7.1_230420.pdf
Paediatric differentiated thyroid carcinoma: UK National Clinical Practice Consensus Guideline,https://www.cclg.org.uk/write/MediaUploads/Guidelines/Paed_DTC_ERC_final_CCLG.pdf
Vitamin D: supplement use in specific population groups (NICE PH56 updated 2017),https://www.nice.org.uk/guidance/ph56
Epilepsies in children young people and adults (NICE NG217 2022),https://www.nice.org.uk/guidance/ng217
Epileps,https://www.nice.org.uk/guidance/qs27
ies in children young people and adults (NICE QS211 2023)&nbsp;,https://www.nice.org.uk/guidance/qs211
Fever in under 5s (NICE QS64 2022),https://www.nice.org.uk/guidance/qs64
Fever in under 5s: assessment and initial management (NICE NG143 updated 2021),https://www.nice.org.uk/guidance/ng143
Fractures (complex): assessment and management (NICE NG37 updated 2022,https://www.nice.org.uk/guidance/ng37
Fractures (non-complex): assessment and management (NICE NG38 2018),https://www.nice.org.uk/guidance/ng38
Alcohol-use disorders: diagnosis and management of physical complications (NICE CG100 updated 2017),https://www.nice.org.uk/guidance/cg100
Alcohol-use disorders: diagnosis assessment and management of harmful drinking and alcohol dependence (NICE CG115 reviewed 2019),https://www.nice.org.uk/guidance/cg115
Cannabis-based medicinal products (NICE NG144 updated 2021),https://www.nice.org.uk/guidance/ng144
Children and young people exposed prenatally to alcohol (SIGN 156 2019),https://www.sign.ac.uk/our-guidelines/children-and-young-people-exposed-prenatally-to-alcohol/
Children’s continence commissioning guide: a handbook for the commissioning and running of children’s community continence services (The Paediatric Continence Forum Update 2019),https://www.bbuk.org.uk/wp-content/uploads/2019/12/PCF-Childrens-Continence-Commissioning-Guide-Dec-2019.pdf
Clostridioides difficile infection: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng153
 (NICE NG199 2021),https://www.nice.org.uk/guidance/ng199
Coeliac disease (NICE QS134 2016),https://www.nice.org.uk/guidance/qs134
Coeliac disease: recognition assessment and management (NICE NG20 reviewed 2019),https://www.nice.org.uk/guidance/ng20
Constipation in children and young people (NICE QS62 2014),https://www.nice.org.uk/guidance/qs62
Constipation in children and young people: diagnosis and management (NICE CG99 updated 2017),https://www.nice.org.uk/guidance/cg99
Crohn’s disease: management (NICE NG129 updated 2019),https://www.nice.org.uk/guidance/ng129
Diarrhoea and vomiting caused by gastroenteritis in under 5s: diagnosis and management (NICE CG84 reviewed 2018),https://www.nice.org.uk/guidance/cg84
Gastro-oesophageal reflux disease in children and young people: diagnosis and management (NICE NG1 updated 2019),https://www.nice.org.uk/guidance/ng1
Gastro-oesophageal reflux in children and young people (NICE QS112 2016),https://www.nice.org.uk/guidance/qs112
Liver disease (NICE QS152 2017),https://www.nice.org.uk/guidance/qs152
Pancreatitis (NICE NG104 updated 2020),https://www.nice.org.uk/guidance/ng104
Ulcerative colitis: management (NICE NG130 2019),https://www.nice.org.uk/guidance/ng130
Urinary tract infection (recurrent): antimicrobial prescribing,https://www.nice.org.uk/guidance/ng112
Acne vulgaris: management (NICE NG198 2021),https://www.nice.org.uk/guidance/ng198
Babies children and young people's experience of healthcare (NICE NG204 2021),https://www.nice.org.uk/guidance/ng204
Behaviour change: digital and mobile health interventions (NICE NG183 2020),https://www.nice.org.uk/guidance/NG183
Cannabis-based medicinal products (NICE NG144 updated 2021),https://www.nice.org.uk/guidance/ng144
Cellulitis and erysipelas: antimicrobial prescribing (NICE NG141 2019),https://www.nice.org.uk/guidance/NG141
Children’s continence commissioning guide: a handbook for the commissioning and running of children’s community continence services (The Paediatric Continence Forum Update 2019),https://www.bbuk.org.uk/wp-content/uploads/2019/12/PCF-Childrens-Continence-Commissioning-Guide-Dec-2019.pdf
Heavy menstrual bleeding (NICE QS47 2020),https://www.nice.org.uk/guidance/qs47
Heavy menstrual bleeding: assessment and management (NICE NG88 updated 2021),https://www.nice.org.uk/guidance/ng88
Impetigo: antimicrobial prescribing (NICE NG153 2020),https://www.nice.org.uk/guidance/ng153
Occupational therapy and play (RCOT 2023),https://www.rcot.co.uk/practice-resources/rcot-practice-guidelines/occupational-therapy-and-play-practice-guidelines
Suicide prevention (NICE QS189 2019),https://www.nice.org.uk/guidance/qs189
Thyroid disease: assessment and management (NICE NG145 2019),https://www.nice.org.uk/guidance/ng145
Ulcerative colitis: management (NICE NG130 2019),https://www.nice.org.uk/guidance/ng130
Endometriosis: diagnosis and management ,https://www.nice.org.uk/guidance/ng73
COVID-19 rapid guideline: reducing the risk of venous thromboembolism in over 16s with COVID-19 (NICE NG186 2020),https://www.nice.org.uk/guidance/ng186
Abusive head trauma and the eye in infancy (RCPCH-RCOphth 2023),https://www.rcophth.ac.uk/resources-listing/abusive-head-trauma-and-the-eye-in-infancy/
Head injury (NICE QS74 2023),https://www.nice.org.uk/guidance/qs74
Head injury: assessment and early management (NICE NG232 updated 2023),https://www.nice.org.uk/guidance/ng232
Headaches in over 12s (NICE QS42 2013),https://www.nice.org.uk/guidance/qs42
Headaches in over 12s: diagnosis and management ,https://www.nice.org.uk/guidance/cg150
Hepatitis B (chronic): diagnosis and management (NICE CG165 updated 2017),https://www.nice.org.uk/guidance/cg165
Management of hepatitis C (SIGN 133 2013),https://www.sign.ac.uk/our-guidelines/management-of-hepatitis-c/
Familial hypercholesterolaemia: identification and management (NICE CG71 updated 2019),https://www.nice.org.uk/guidance/cg71
Flu vaccination: increasing uptake (NICE NG103 2018),https://www.nice.org.uk/guidance/ng103
Flu vaccination: increasing uptake (NICE QS190 2020),https://www.nice.org.uk/guidance/qs190
Healthcare-associated infections: prevention and control in primary and community care (NICE CG139 updated 2017),https://www.nice.org.uk/guidance/cg139
Prevention of early-onset neonatal group B streptococcal disease (RCOG 2017),https://www.rcog.org.uk/en/guidelines-research-services/guidelines/gtg36/
Sinusitis (acute),https://www.nice.org.uk/guidance/ng79
: antimicrobial prescribing (NICE NG79 2017),https://www.nice.org.uk/guidance/ng79
Surgical site infections: prevention and treatment (NICE NG125 2020),https://www.nice.org.uk/guidance/ng125
Vaccine uptake in under 19s (NICE QS145 2017),https://www.nice.org.uk/guidance/qs145
Urinary tract infection (recurrent): antimicrobial prescribing,https://www.nice.org.uk/guidance/ng112
Clostridioides difficile infection: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng153
 (NICE NG199 2021),https://www.nice.org.uk/guidance/ng199
COVID-19 rapid guideline: managing COVID-19 (NICE NG191 2024),https://www.nice.org.uk/guidance/ng187
COVID-19 rapid guideline: managing the long-term effects of COVID-19 (NICE NG188 2024),https://www.nice.org.uk/guidance/ng188
COVID-19 rapid guideline: reducing the risk of venous thromboembolism in over 16s with COVID-19 (NICE NG186 2020),https://www.nice.org.uk/guidance/ng186
COVID-19 rapid guideline: vitamin D (NICE NG187 2020),https://www.nice.org.uk/guidance/ng187
Hepatitis B (chronic): diagnosis and management (NICE CG165 updated 2017),https://www.nice.org.uk/guidance/cg165
Human and animal bites: antimicrobial prescribing (NICE NG184 2020),https://www.nice.org.uk/guidance/ng184
Insect bites and stings: antimicrobial prescribing (NICE NG182 2020),https://www.nice.org.uk/guidance/ng182
Lyme disease (NICE NG95 updated 2018),https://www.nice.org.uk/guidance/ng95
Lyme disease (NICE QS186 2019),https://www.nice.org.uk/guidance/qs186
Management of hepatitis C (SIGN 133 2013),https://www.sign.ac.uk/our-guidelines/management-of-hepatitis-c/
Secondary bacterial infection of eczema and other common skin conditions: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng190
 (NICE NG190 2021),https://www.nice.org.uk/guidance/ng190
Urinary tract infection (recurrent): antimicrobial prescribing,https://www.nice.org.uk/guidance/ng112
Prophylaxis against infective endocarditis: antimicrobial prophylaxis against infective endocarditis in adults and children undergoing interventional procedures (NICE CG64 updated 2016),https://www.nice.org.uk/guidance/cg64
Preventing unintentional injury in under 15s (NICE QS107 2016),https://www.nice.org.uk/guidance/qs107
COVID-19 rapid guideline: managing COVID-19 (NICE NG191 2024),https://www.nice.org.uk/guidance/ng187
COVID-19 rapid guideline: managing the long-term effects of COVID-19 (NICE NG188 2024),https://www.nice.org.uk/guidance/ng188
COVID-19 rapid guideline: reducing the risk of venous thromboembolism in over 16s with COVID-19 (NICE NG186 2020),https://www.nice.org.uk/guidance/ng186
Intravenous fluid therapy in children and young people in hospital (NICE NG29 2015),https://www.nice.org.uk/guidance/ng29
Intravenous fluid therapy in children and young people in hospital (NICE QS131 2016),https://www.nice.org.uk/guidance/qs131
Jaundice in newborn babies under 28 days (NICE CG98 updated 2016),https://www.nice.org.uk/guidance/cg98
Jaundice in newborn babies under 28 days (NICE QS57 2014),https://www.nice.org.uk/guidance/qs57
Behaviour change: digital and mobile health interventions (NICE NG183 2020),https://www.nice.org.uk/guidance/NG183
Challenging behaviour and learning disabilities: prevention and interventions for people with learning disabilities whose behaviour challenges (NICE NG11 2015),https://www.nice.org.uk/guidance/ng11
Decision-making and mental capacity (NICE QS194 2020),https://www.nice.org.uk/guidance/qs194
Learning disabilities and behaviour that challenges: service design and delivery (NICE NG93 2018),https://www.nice.org.uk/guidance/NG93
Learning disability: behaviour that challenges (NICE QS101 2019),https://www.nice.org.uk/guidance/qs101
Meningitis (bacterial) and meningococcal,https://www.nice.org.uk/guidance/ng240
Sepsis (NICE QS161 2017),https://www.nice.org.uk/guidance/qs161
Sepsis: recognition diagnosis and early management (NICE NG51 updated 2017),https://www.nice.org.uk/guidance/ng51
Heavy menstrual bleeding (NICE QS47 2020),https://www.nice.org.uk/guidance/qs47
Heavy menstrual bleeding: assessment and management (NICE NG88 updated 2021),https://www.nice.org.uk/guidance/ng88
Endometriosis: diagnosis and management ,https://www.nice.org.uk/guidance/ng73
Antenatal and postnatal mental health: clinical management and service guidance (NICE CG193 updated 2020),https://www.nice.org.uk/guidance/cg192
Antisocial behaviour and conduct disorders in children and young people (NICE QS59 2014),https://www.nice.org.uk/guidance/qs59
Antisocial behaviour and conduct disorders in children and young people: recognition and management (NICE CG158 updated 2017),https://www.nice.org.uk/guidance/cg158
Antisocial personality disorder: prevention and management (NICE CG77 reviewed 2018),https://www.nice.org.uk/guidance/cg77
Bipolar disorder psychosis and schizophrenia in children and young people (NICE QS102 2015),https://www.nice.org.uk/guidance/qs102
Bipolar disorder: assessment and management (NICE CG185 updated 2020),https://www.nice.org.uk/guidance/cg185
Borderline personality disorder: recognition and management (NICE CG78 reviewed 2018),https://www.nice.org.uk/guidance/cg78
Challenging behaviour and learning disabilities: prevention and interventions for people with learning disabilities whose behaviour challenges (NICE NG11 2015),https://www.nice.org.uk/guidance/ng11
Children’s attachment: attachment in children and young people who are adopted from care in care or at high risk of going into care (NICE NG26 2015),https://www.nice.org.uk/guidance/ng26
Coexisting severe mental illness (psychosis) and substance misuse: assessment and management in healthcare settings (NICE CG120 reviewed 2016),https://www.nice.org.uk/guidance/cg120
Coexisting severe mental illness and substance misuse (NICE QS188 2019),https://www.nice.org.uk/guidance/qs188
Decision-making and mental capacity (NICE QS194 2020),https://www.nice.org.uk/guidance/qs194
Depression in children and young people (NICE QS48 reviewed 2015),https://www.nice.org.uk/guidance/qs48
Depression in children and young people: identification and management (NICE NG134 2019),https://www.nice.org.uk/guidance/ng134
Drug misuse in over 16s: opioid detoxification (NICE CG52 reviewed 2019),https://www.nice.org.uk/guidance/cg52
Drug misuse in over 16s: psychosocial interventions (NICE CG51 reviewed 2016),https://www.nice.org.uk/guidance/cg51
Drug misuse prevention (NICE QS165 2018),https://www.nice.org.uk/guidance/qs165
Eating disorders (NICE QS175 2018),https://www.nice.org.uk/guidance/qs175
Eating disorders: recognition and treatment (NICE NG69 updated 2020),https://www.nice.org.uk/guidance/ng69
Learning disabilities and behaviour that challenges: service design and delivery (NICE NG93 2018),https://www.nice.org.uk/guidance/NG93
Learning disability: behaviour that challenges (NICE QS101 2019),https://www.nice.org.uk/guidance/qs101
Personality disorders: borderline and antisocial (NICE QS88 2015),https://www.nice.org.uk/guidance/qs88
Post-traumatic stress disorder (NICE NG116 2018),https://www.nice.org.uk/guidance/ng116
